Site No.,Aquifer thickness,Plume length,Plume length,ED,EA (O2),"Ham (W= 3M, ath=0.1)","Ham (W= 5M, ath=0.1)","Chu (W= 3M, ath=0.1)","Chu (W= 5M, ath=0.1)","Liedl, atv=0.01","Liedl, atv=0.001","Maier, atv=0.01","Maier, atv=0.001"
,[m],[ft],[m],[mg/l],[mg/l],(m),(m),(m),(m),(m),(m),(m),(m)
33,6.096,550,167.64,2.84,0.6,58791.7026096212,163310.285026726,145062.711705863,402951.976960732,4526.59497189276,45265.9497189276,4175.31208318443,41753.1208318443
34,0.6096,350,106.68,5.478,7.4,14.3801188217194,39.9447745047761,35.4815210027574,98.5597805632151,21.7308572701763,217.308572701763,23.9307278528769,239.307278528769
35,3.048,280,85.344,48.65,0.42,8802154.25790154,24450428.494171,21718445.1007131,60329014.1686476,2312.10211165685,23121.0211165685,2724.13665747668,27241.3665747668
36,10.668,750,228.6,18.27,1.9,743066.784269212,2064074.40074781,1833443.80108168,5092899.44744912,16981.7995549976,169817.995549976,15816.5004017761,158165.004017761
37,9.144,650,198.12,3.233,0.1,6171287.5898511,17142465.5273642,15227041.7892956,42297338.303599,16508.324341484,165083.24341484,16718.7207895605,167187.207895605
38,15.24,2800,853.44,6.01,10,5923.94229718434,16455.3952699565,14616.7417420225,40602.0603945069,12254.193814663,122541.93814663,14050.1569088206,140501.569088206
39,2.4384,100,30.48,0.96326,3.9,25.6129545841025,71.1470960669515,63.19743232204,175.548423116778,196.556079380657,1965.56079380657,275.46249314246,2754.6249314246
40,2.4384,210,64.008,13.8,7.6,1384.3083200414,3845.30088900389,3415.6438719863,9487.8996444064,516.625949786157,5166.25949786157,501.162360723993,5011.62360723992
41,16.764,800,243.84,32.557,9.82,218128.809640906,605913.360113629,538211.264909068,1495031.29141408,30479.9712697643,304799.712697643,28376.8425571175,283768.425571175
42,9.144,1800,548.64,15.601,9,17741.2506285838,49281.2517460661,43774.781321175,121596.614781042,7131.71914478374,71317.1914478374,6950.15214452565,69501.5214452565
43,6.096,500,152.4,9.23,7.7,3770.54223601087,10473.7284333635,9303.44006175655,25842.8890604349,2714.92694146778,27149.2694146778,2765.36274786527,27653.6274786527
44,3.6576,315,96.012,3.126,8,144.238876977961,400.663547161003,355.895163757467,988.597677104077,565.071741290814,5650.71741290814,711.231547780031,7112.31547780031
45,8.5,0,140,0.709,1,2564.61550374324,7123.93195484234,6327.93511571157,17577.5975436433,4137.1936397592,41371.936397592,4592.83264485801,45928.3264485801
46,8.5,0,90,0.04,1,8.16299960807985,22.6749989113329,20.1413942144989,55.9483172624969,1053.79626859316,10537.9626859316,1938.67382887264,19386.7382887264
47,8.5,0,120,1.3,1,8622.16833603434,23950.4676000954,21274.3476390644,59095.4101085124,5467.70491661371,54677.0491661371,5508.96173607473,55089.6173607473
48,8.5,0,85,2.4,2,7346.69964727186,20407.4990201996,18127.254793049,50353.4855362472,5280.95144317197,52809.5144317197,5378.25171030598,53782.5171030598
49,8.5,0,55,1.4,2,2499.91862997445,6944.2184165957,6168.30197819028,17134.1721616397,4111.43161800267,41114.3161800267,4575.26403775657,45752.6403775657
50,8.5,0,85,0.7,2,624.979657493613,1736.05460414893,1542.07549454757,4283.54304040992,2878.47782555641,28784.7782555641,3716.26917863028,37162.6917863028
51,75,0,135,0.25,1,24825.2988729721,68959.1635360335,61253.9697537609,170149.915982669,187161.655985505,1871616.55985505,261549.219363889,2615492.19363889
52,75,0,80,0.4,1,63552.7651148085,176535.458652246,156810.162569628,435583.784915634,240547.135787645,2405471.35787645,301154.545725727,3011545.45725727
53,10,0,160,0.31,1,678.602303059233,1885.00639738676,1674.38406921569,4651.06685893249,3733.9791192025,37339.791192025,4959.72282916786,49597.2282916786
54,1.25,0,120,0.014,8,0.000337899901327,0.000938610837018,0.000833734588315,0.002315929411986,15.64427146714,156.4427146714,16.3976019359142,163.976019359142
55,11,0,250,33,7.5,165417.961608162,459494.33780045,408152.460476786,1133756.83465774,14404.2219359821,144042.219359821,13300.5644515864,133005.644515864
56,6.2,0,200,123,1.6,16041522.2546612,44559784.0407254,39580869.6611941,109946860.169984,8930.12518412597,89301.2518412597,9967.07706889788,99670.7706889788
57,17.5,0,600,90,8,2736989.20074517,7602747.7798477,6753250.16535214,18759028.2370893,47587.8910432517,475878.910432517,44613.9578737649,446139.578737649
58,3.75,0,500,230,0.6,145917590.042247,405326639.006242,360037222.219328,1000103395.05369,4180.74659054369,41807.4659054369,5904.51744271146,59045.1744271146
59,30,0,300,0.4,8,158.881912787021,441.338646630615,392.02540642407,1088.95946228908,14130.4723863236,141304.723863236,25821.5560184806,258215.560184806
60,3,0,600,0.01,8,0.000993011954919,0.002758366541441,0.00245015879015,0.006805996639307,89.5410208233661,895.410208233661,85.3816242085993,853.816242085993
61,10,0,100,0.01,4,0.044133864663062,0.122594068508504,0.108895946228908,0.302488739524745,1010.71457046484,10107.1457046484,1167.96788496369,11679.6788496369
62,6,0,175,0.01,8,0.003972047819676,0.011033466165765,0.009800635160602,0.027223986557227,358.164083293464,3581.64083293464,341.526496834397,3415.26496834397
63,6,0,420,11.4,0.5,1321490.77669128,3670807.71303134,3260647.79640782,9057354.99002171,6604.15897184004,66041.5897184004,6482.34070901192,64823.4070901192
64,5,0,540,0.01,8,0.002758366541441,0.007662129281782,0.006805996639307,0.018905546220297,248.725057842684,2487.25057842684,237.17117835722,2371.7117835722
65,1,0,180,1.5,8,2.48252988729721,6.89591635360335,6.12539697537609,17.0149915982669,28.552796653704,285.52796653704,42.652970308924,426.52970308924
66,2,0,30,0.019,8,0.001593232514337,0.004425645873157,0.003931143658864,0.010919843496843,40.3654364212006,403.654364212006,46.0053113555835,460.053113555835
67,5,0,450,0.65,8,11.6540986375897,32.3724962155269,28.7553358010711,79.8759327807531,474.993348706266,4749.93348706266,829.72832915513,8297.2832915513
68,2.3,0,450,0.017,4.2,0.006119935930661,0.016999822029613,0.015100336648909,0.041945379580302,54.4980623057456,544.980623057456,71.3944512835256,713.944512835256
69,3.75,0,140,0.0004,2.24,3.16649220318521E-05,8.79581167551448E-05,7.81300634614297E-05,0.00021702795406,137.994721164538,1379.94721164538,74.4140644553469,744.140644553469
70,3,0,250,23,0.99,343020.230035034,952833.972319539,846368.493004114,2351023.59167809,1657.79781440999,16577.9781440999,1629.74328621073,16297.4328621073
71,1,0,900,0.75,8,0.620632471824302,1.72397908840084,1.53134924384402,4.25374789956673,20.2477184752434,202.477184752434,34.6449773451349,346.449773451349
72,10,0,600,0.25,8,6.89591635360335,19.1553232044538,17.0149915982669,47.2638655507415,1358.38739470741,13583.8739470741,2491.74677743378,24917.4677743378
73,6.2,0,325,35,1.6,1298887.22069931,3608020.05749809,2925461.66349025,8902432.65967546,6988.15868147107,69881.5868147107,6836.23047924183,68362.3047924183
